future_timepoint,intervention,difference_in_optimal_distance,intervention_name
2017-10-01,status_quo_vs_improved_vaccine,1.4263148307800293,improved vaccine
2018-01-01,status_quo_vs_improved_vaccine,1.3156299591064453,improved vaccine
2018-04-01,status_quo_vs_improved_vaccine,0.9755043983459468,improved vaccine
2018-07-01,status_quo_vs_improved_vaccine,0.5980236530303955,improved vaccine
2018-10-01,status_quo_vs_improved_vaccine,1.0624690055847177,improved vaccine
2019-01-01,status_quo_vs_improved_vaccine,1.3228747844696045,improved vaccine
2019-04-01,status_quo_vs_improved_vaccine,1.2927966117858887,improved vaccine
2019-07-01,status_quo_vs_improved_vaccine,1.032692432403565,improved vaccine
2019-10-01,status_quo_vs_improved_vaccine,2.043938159942627,improved vaccine
2020-01-01,status_quo_vs_improved_vaccine,0.5115203857421875,improved vaccine
2020-04-01,status_quo_vs_improved_vaccine,1.5350556373596191,improved vaccine
2020-07-01,status_quo_vs_improved_vaccine,2.3426196575164795,improved vaccine
2020-10-01,status_quo_vs_improved_vaccine,2.703510284423828,improved vaccine
2021-01-01,status_quo_vs_improved_vaccine,1.3860654830932626,improved vaccine
2021-04-01,status_quo_vs_improved_vaccine,0.9573423862457275,improved vaccine
2021-07-01,status_quo_vs_improved_vaccine,1.768251657485962,improved vaccine
2021-10-01,status_quo_vs_improved_vaccine,1.420581340789795,improved vaccine
2022-01-01,status_quo_vs_improved_vaccine,1.4203147888183594,improved vaccine
2022-04-01,status_quo_vs_improved_vaccine,0.9815809726715088,improved vaccine
2022-07-01,status_quo_vs_improved_vaccine,1.2707788944244376,improved vaccine
2022-10-01,status_quo_vs_improved_vaccine,1.4146192073822021,improved vaccine
2023-01-01,status_quo_vs_improved_vaccine,1.625741720199585,improved vaccine
2023-04-01,status_quo_vs_improved_vaccine,1.4906885623931885,improved vaccine
2023-07-01,status_quo_vs_improved_vaccine,1.6383626461029053,improved vaccine
2023-10-01,status_quo_vs_improved_vaccine,2.86870527267456,improved vaccine
2024-01-01,status_quo_vs_improved_vaccine,2.0152068138122563,improved vaccine
2024-04-01,status_quo_vs_improved_vaccine,1.2241883277893066,improved vaccine
2024-07-01,status_quo_vs_improved_vaccine,1.9315211772918701,improved vaccine
2024-10-01,status_quo_vs_improved_vaccine,2.651048183441162,improved vaccine
2025-01-01,status_quo_vs_improved_vaccine,2.1503183841705322,improved vaccine
2025-04-01,status_quo_vs_improved_vaccine,1.3560140132904053,improved vaccine
2025-07-01,status_quo_vs_improved_vaccine,1.748277187347412,improved vaccine
2025-10-01,status_quo_vs_improved_vaccine,1.9913744926452637,improved vaccine
2026-01-01,status_quo_vs_improved_vaccine,1.9582977294921875,improved vaccine
2026-04-01,status_quo_vs_improved_vaccine,3.4150376319885254,improved vaccine
2026-07-01,status_quo_vs_improved_vaccine,2.8213768005371094,improved vaccine
2026-10-01,status_quo_vs_improved_vaccine,0.6719770431518555,improved vaccine
2027-01-01,status_quo_vs_improved_vaccine,2.3468008041381836,improved vaccine
2027-04-01,status_quo_vs_improved_vaccine,3.311979532241821,improved vaccine
2027-07-01,status_quo_vs_improved_vaccine,2.0015885829925537,improved vaccine
2027-10-01,status_quo_vs_improved_vaccine,1.181189775466919,improved vaccine
2028-01-01,status_quo_vs_improved_vaccine,1.3306605815887451,improved vaccine
2028-04-01,status_quo_vs_improved_vaccine,2.148775577545166,improved vaccine
2028-07-01,status_quo_vs_improved_vaccine,1.0235137939453125,improved vaccine
2028-10-01,status_quo_vs_improved_vaccine,2.972965955734253,improved vaccine
2029-01-01,status_quo_vs_improved_vaccine,4.397525787353515,improved vaccine
2029-04-01,status_quo_vs_improved_vaccine,2.209283351898193,improved vaccine
2029-07-01,status_quo_vs_improved_vaccine,1.4679145812988281,improved vaccine
2029-10-01,status_quo_vs_improved_vaccine,1.779939889907837,improved vaccine
2030-01-01,status_quo_vs_improved_vaccine,1.7969212532043457,improved vaccine
2030-04-01,status_quo_vs_improved_vaccine,1.0500826835632324,improved vaccine
2030-07-01,status_quo_vs_improved_vaccine,1.7781398296356201,improved vaccine
2030-10-01,status_quo_vs_improved_vaccine,1.866685152053833,improved vaccine
2031-01-01,status_quo_vs_improved_vaccine,0.872124433517456,improved vaccine
2031-04-01,status_quo_vs_improved_vaccine,1.2835030555725098,improved vaccine
2031-07-01,status_quo_vs_improved_vaccine,2.780254602432251,improved vaccine
2031-10-01,status_quo_vs_improved_vaccine,2.051523208618164,improved vaccine
2032-01-01,status_quo_vs_improved_vaccine,3.7062900066375732,improved vaccine
2032-04-01,status_quo_vs_improved_vaccine,3.223442554473877,improved vaccine
2032-07-01,status_quo_vs_improved_vaccine,1.366795301437378,improved vaccine
2032-10-01,status_quo_vs_improved_vaccine,1.4646649360656734,improved vaccine
2033-01-01,status_quo_vs_improved_vaccine,1.5008633136749268,improved vaccine
2033-04-01,status_quo_vs_improved_vaccine,1.5478858947753915,improved vaccine
2033-07-01,status_quo_vs_improved_vaccine,1.4331519603729248,improved vaccine
2033-10-01,status_quo_vs_improved_vaccine,1.4136831760406494,improved vaccine
2034-01-01,status_quo_vs_improved_vaccine,0.937302827835083,improved vaccine
2034-04-01,status_quo_vs_improved_vaccine,1.9946682453155522,improved vaccine
2034-07-01,status_quo_vs_improved_vaccine,2.466846227645874,improved vaccine
2034-10-01,status_quo_vs_improved_vaccine,0.2523965835571289,improved vaccine
2035-01-01,status_quo_vs_improved_vaccine,1.7884092330932617,improved vaccine
2035-04-01,status_quo_vs_improved_vaccine,2.8973004817962646,improved vaccine
2035-07-01,status_quo_vs_improved_vaccine,1.6917622089385986,improved vaccine
2035-10-01,status_quo_vs_improved_vaccine,0.9745280742645268,improved vaccine
2036-01-01,status_quo_vs_improved_vaccine,1.4855258464813232,improved vaccine
2036-04-01,status_quo_vs_improved_vaccine,2.1706159114837646,improved vaccine
2036-07-01,status_quo_vs_improved_vaccine,1.117056131362915,improved vaccine
2036-10-01,status_quo_vs_improved_vaccine,0.732957124710083,improved vaccine
2037-01-01,status_quo_vs_improved_vaccine,0.7938599586486821,improved vaccine
2037-04-01,status_quo_vs_improved_vaccine,0.15716934204101562,improved vaccine
2037-07-01,status_quo_vs_improved_vaccine,1.6609048843383794,improved vaccine
