future_timepoint	intervention	difference_in_total_absolute_forecast_error	intervention_name
2017-10-01	status_quo_vs_improved_vaccine	53.01019855595757	improved vaccine
2018-01-01	status_quo_vs_improved_vaccine	24.596843347103114	improved vaccine
2018-04-01	status_quo_vs_improved_vaccine	1.7196243588396491	improved vaccine
2018-07-01	status_quo_vs_improved_vaccine	2.9115418213316406	improved vaccine
2018-10-01	status_quo_vs_improved_vaccine	12.998352422106873	improved vaccine
2020-01-01	status_quo_vs_improved_vaccine	28.490779591998646	improved vaccine
2020-04-01	status_quo_vs_improved_vaccine	-14.566838767508578	improved vaccine
2020-07-01	status_quo_vs_improved_vaccine	-48.54052857009401	improved vaccine
2020-10-01	status_quo_vs_improved_vaccine	-1.6797146520514588	improved vaccine
2021-01-01	status_quo_vs_improved_vaccine	9.506970274717098	improved vaccine
2021-04-01	status_quo_vs_improved_vaccine	0.0873300420300005	improved vaccine
2021-07-01	status_quo_vs_improved_vaccine	20.654642322278157	improved vaccine
2021-10-01	status_quo_vs_improved_vaccine	34.869813144574614	improved vaccine
2022-01-01	status_quo_vs_improved_vaccine	13.209164760447132	improved vaccine
2022-04-01	status_quo_vs_improved_vaccine	-6.309731583452674	improved vaccine
2022-07-01	status_quo_vs_improved_vaccine	36.538537692516165	improved vaccine
2022-10-01	status_quo_vs_improved_vaccine	54.832920455290946	improved vaccine
2023-01-01	status_quo_vs_improved_vaccine	22.894103371684956	improved vaccine
2023-04-01	status_quo_vs_improved_vaccine	-0.08460214668671018	improved vaccine
2023-07-01	status_quo_vs_improved_vaccine	11.753591812393125	improved vaccine
2024-01-01	status_quo_vs_improved_vaccine	-5.185644507296729	improved vaccine
2024-07-01	status_quo_vs_improved_vaccine	1.9724765920842202	improved vaccine
2024-10-01	status_quo_vs_improved_vaccine	29.708175763724128	improved vaccine
2025-01-01	status_quo_vs_improved_vaccine	129.74812149126282	improved vaccine
2025-04-01	status_quo_vs_improved_vaccine	16.047615173265513	improved vaccine
2025-07-01	status_quo_vs_improved_vaccine	20.16590765897805	improved vaccine
2025-10-01	status_quo_vs_improved_vaccine	18.27492245367238	improved vaccine
2026-01-01	status_quo_vs_improved_vaccine	28.946237075578203	improved vaccine
2026-04-01	status_quo_vs_improved_vaccine	-19.34182495300673	improved vaccine
2026-07-01	status_quo_vs_improved_vaccine	-1.42100722982169	improved vaccine
2026-10-01	status_quo_vs_improved_vaccine	29.846250639947	improved vaccine
2027-01-01	status_quo_vs_improved_vaccine	9.500273855153885	improved vaccine
2027-04-01	status_quo_vs_improved_vaccine	26.217979629667155	improved vaccine
2027-07-01	status_quo_vs_improved_vaccine	-10.064657968940907	improved vaccine
2027-10-01	status_quo_vs_improved_vaccine	-48.22030033406756	improved vaccine
2028-01-01	status_quo_vs_improved_vaccine	44.940850660732195	improved vaccine
2028-04-01	status_quo_vs_improved_vaccine	56.37108177374773	improved vaccine
2028-07-01	status_quo_vs_improved_vaccine	-4.62663143600858	improved vaccine
2028-10-01	status_quo_vs_improved_vaccine	16.652195289199483	improved vaccine
2029-01-01	status_quo_vs_improved_vaccine	-5.521272363998886	improved vaccine
2029-04-01	status_quo_vs_improved_vaccine	74.5448563514606	improved vaccine
2029-07-01	status_quo_vs_improved_vaccine	8.880409642894119	improved vaccine
2029-10-01	status_quo_vs_improved_vaccine	-5.066847697641268	improved vaccine
2030-01-01	status_quo_vs_improved_vaccine	-36.652535869804595	improved vaccine
2030-04-01	status_quo_vs_improved_vaccine	-24.205762619503197	improved vaccine
