frequency	projected_frequency	clade_membership	observed_frequency	sample	timepoint	future_timepoint	delta_month	delay_type
0.015514	0.0120834680194072	0007448	0.001925	simulated_no_delay	2031-01-01	2031-04-01	3.0	none
0.026657	0.012832870916606537	0236ad1	0.006572	simulated_no_delay	2031-01-01	2031-04-01	3.0	none
0.0073880000000000005	0.0069186495014514	036305a	0.000994	simulated_no_delay	2031-01-01	2031-04-01	3.0	none
0.158379	0.22625986071819296	09085c6	0.439115	simulated_no_delay	2031-01-01	2031-04-01	3.0	none
0.018245	0.0123406622421839	0d2b01d	0.001434	simulated_no_delay	2031-01-01	2031-04-01	3.0	none
0.281166	0.3426857537041123	1073eea	0.352479	simulated_no_delay	2031-01-01	2031-04-01	3.0	none
0.006470999999999999	0.0036217407386453138	15f70f8	0.002662	simulated_no_delay	2031-01-01	2031-04-01	3.0	none
0.011351	0.0358071584465275	224d965	0.013866999999999999	simulated_no_delay	2031-01-01	2031-04-01	3.0	none
0.177909	0.21655451883422136	22d5623	0.26429199999999997	simulated_no_delay	2031-01-01	2031-04-01	3.0	none
0.040894	0.019863373638295077	266163b	0.015071	simulated_no_delay	2031-01-01	2031-04-01	3.0	none
0.072809	0.05325337662025821	286184d	0.043559	simulated_no_delay	2031-01-01	2031-04-01	3.0	none
0.016994	0.009099819885242073	2a62051	0.015913999999999998	simulated_no_delay	2031-01-01	2031-04-01	3.0	none
0.004621999999999999	0.0019488344697957878	2d1f18d	0.000273	simulated_no_delay	2031-01-01	2031-04-01	3.0	none
0.007854	0.0113605544988354	394ce7b	0.001562	simulated_no_delay	2031-01-01	2031-04-01	3.0	none
0.00247	0.0058557446658798	5411d6b	0.000158	simulated_no_delay	2031-01-01	2031-04-01	3.0	none
0.032428	0.017532133019821865	5722229	0.004464	simulated_no_delay	2031-01-01	2031-04-01	3.0	none
0.041190000000000004	0.04073213050686865	5a95c97	0.021045	simulated_no_delay	2031-01-01	2031-04-01	3.0	none
0.041632	0.03087356641397115	603a0ce	0.008444	simulated_no_delay	2031-01-01	2031-04-01	3.0	none
0.004359	0.0018697074510151	6ce3652	0.000271	simulated_no_delay	2031-01-01	2031-04-01	3.0	none
0.003963	7.15965980180193e-05	7e48343	0.00357	simulated_no_delay	2031-01-01	2031-04-01	3.0	none
0.008173	0.0045910564683179	831b5c3	0.0009780000000000001	simulated_no_delay	2031-01-01	2031-04-01	3.0	none
0.012267	0.0065250514029127	8503812	0.001264	simulated_no_delay	2031-01-01	2031-04-01	3.0	none
0.016099000000000002	0.012462671315558742	8ac3675	0.01435	simulated_no_delay	2031-01-01	2031-04-01	3.0	none
0.004429	0.0044293584857315	8feb268	0.007011	simulated_no_delay	2031-01-01	2031-04-01	3.0	none
0.004429	0.0081562532106504	9063a9f	0.05042	simulated_no_delay	2031-01-01	2031-04-01	3.0	none
