clade_membership	frequency	projected_frequency	optimal_projected_frequency	n_strains	observed_frequency	future_n_strains	forecast_error	absolute_forecast_error	optimal_forecast_error	optimal_absolute_forecast_error	sample	timepoint	future_timepoint	delta_month	delay_type
A.6	0.999977	0.9999999999999712	0.9999829390781012	692	0.999983	614	-1.699999997128998e-05	1.699999997128998e-05	6.09218987479565e-08	6.09218987479565e-08	h3n2_no_delay	2011-04-01	2011-07-01	3.0	none
A.6.6	0.198316	0.187685348054213	0.06879200023194997	121	0.06879199999999999	89	-0.118893348054213	0.118893348054213	-2.3194997311737353e-10	2.3194997311737353e-10	h3n2_no_delay	2011-04-01	2011-07-01	3.0	none
A.6.6.2	0.016104	0.012174734669836009	0.007188000134192103	12	0.0034119999999999997	7	-0.008762734669836009	0.008762734669836009	-0.003776000134192103	0.003776000134192103	h3n2_no_delay	2011-04-01	2011-07-01	3.0	none
A.6.6.2.1	0.013058	0.010166587969963909	0.003197000027284802	10	0.0031969999999999998	6	-0.006969587969963909	0.006969587969963909	-2.7284802455590507e-11	2.7284802455590507e-11	h3n2_no_delay	2011-04-01	2011-07-01	3.0	none
A.6.6.3	0.179877	0.17450749814861016	0.06145200010450816	107	0.061452	80	-0.11305549814861016	0.11305549814861016	-1.045081590711483e-10	1.045081590711483e-10	h3n2_no_delay	2011-04-01	2011-07-01	3.0	none
A.6.6.3.2	0.051543	0.0444223174474041	0.022142999605420977	20	0.022143	20	-0.022279317447404103	0.022279317447404103	3.945790222337209e-10	3.945790222337209e-10	h3n2_no_delay	2011-04-01	2011-07-01	3.0	none
A.6.6.3.3	0.12293899999999999	0.126757858818653	0.0388540004942106	79	0.038854	58	-0.08790385881865301	0.08790385881865301	-4.942106029970361e-10	4.942106029970361e-10	h3n2_no_delay	2011-04-01	2011-07-01	3.0	none
A.6.8	0.800419	0.8115110362773734	0.9311669388453023	569	0.931167	523	0.11965596372262655	0.11965596372262655	6.115469763923187e-08	6.115469763923187e-08	h3n2_no_delay	2011-04-01	2011-07-01	3.0	none
A.6.8.1	0.054747	0.04161877510670635	0.033464001977335595	64	0.027952	32	-0.013666775106706348	0.013666775106706348	-0.005512001977335593	0.005512001977335593	h3n2_no_delay	2011-04-01	2011-07-01	3.0	none
A.6.8.2	0.010187000000000002	0.006345222209396854	0.000491000009787818	10	0.000491	6	-0.005854222209396854	0.005854222209396854	-9.78781801701939e-12	9.78781801701939e-12	h3n2_no_delay	2011-04-01	2011-07-01	3.0	none
A.6.8.3	0.049305	0.03905545697453789	0.0205059990403239	25	0.020506	24	-0.01854945697453789	0.01854945697453789	9.596760990049358e-10	9.596760990049358e-10	h3n2_no_delay	2011-04-01	2011-07-01	3.0	none
A.6.8.4	0.547959	0.6165042792955603	0.404163950994185	372	0.404652	311	-0.21185227929556028	0.21185227929556028	0.00048804900581500554	0.00048804900581500554	h3n2_no_delay	2011-04-01	2011-07-01	3.0	none
A.6.8.4.1	0.031899	0.0337026898834002	0.041905002175553596	13	0.041798999999999996	24	0.008096310116599795	0.008096310116599795	-0.00010600217555360031	0.00010600217555360031	h3n2_no_delay	2011-04-01	2011-07-01	3.0	none
A.6.8.4.2	0.048501	0.0496936725974028	0.00807799996800855	19	0.008078	17	-0.0416156725974028	0.0416156725974028	3.199144942012122e-11	3.199144942012122e-11	h3n2_no_delay	2011-04-01	2011-07-01	3.0	none
A.6.8.4.3	0.027544	0.027506025498478394	0.008439000226644301	18	0.008439	15	-0.019067025498478392	0.019067025498478392	-2.2664430054941676e-10	2.2664430054941676e-10	h3n2_no_delay	2011-04-01	2011-07-01	3.0	none
A.6.8.4.5	0.00031999999999999997	0.0002020740753481403	0.0	10	0.0	0	-0.0002020740753481403	0.0002020740753481403	0.0	0.0	h3n2_no_delay	2011-04-01	2011-07-01	3.0	none
A.6.8.4.6	0.035975	0.0426497864788513	0.08118198648298851	12	0.075456	27	0.032806213521148694	0.032806213521148694	-0.005725986482988513	0.005725986482988513	h3n2_no_delay	2011-04-01	2011-07-01	3.0	none
A.6.8.4.6.2	0.00902	0.010576192003195501	0.0	2	0.027611	8	0.0170348079968045	0.0170348079968045	0.027611	0.027611	h3n2_no_delay	2011-04-01	2011-07-01	3.0	none
A.6.8.4.7	0.104066	0.11608931884386998	0.1482929563007922	96	0.148293	86	0.03220368115613002	0.03220368115613002	4.369920780789016e-08	4.369920780789016e-08	h3n2_no_delay	2011-04-01	2011-07-01	3.0	none
A.6.8.5	0.057654000000000004	0.039872710853655575	0.44987798786769356	36	0.449878	111	0.41000528914634443	0.41000528914634443	1.2132306437262486e-08	1.2132306437262486e-08	h3n2_no_delay	2011-04-01	2011-07-01	3.0	none
A.6.8.5.1	0.025517	0.021219037984951842	0.040707995668526356	18	0.040708	18	0.01948896201504816	0.01948896201504816	4.331473645036166e-09	4.331473645036166e-09	h3n2_no_delay	2011-04-01	2011-07-01	3.0	none
A.6.8.5.2	0.029646	0.0166847065820518	0.13994900160469093	10	0.409132	92	0.3924472934179482	0.3924472934179482	0.26918299839530907	0.26918299839530907	h3n2_no_delay	2011-04-01	2011-07-01	3.0	none
A.6.8.5.2.4	0.018524	0.010726291536071702	0.1230820012278853	6	0.106787	29	0.09606070846392831	0.09606070846392831	-0.016295001227885297	0.016295001227885297	h3n2_no_delay	2011-04-01	2011-07-01	3.0	none
A.6.8.5.2.4.1	0.001953	0.000835157143796	0.005458999890834	1	0.005459	2	0.0046238428562040005	0.0046238428562040005	1.0916600002436327e-10	1.0916600002436327e-10	h3n2_no_delay	2011-04-01	2011-07-01	3.0	none
A.6	0.999978	0.999999999999975	0.9999829217849702	630	0.999983	614	-1.699999997506474e-05	1.699999997506474e-05	7.821502978622163e-08	7.821502978622163e-08	h3n2_ideal_delay	2011-04-01	2011-07-01	3.0	ideal
